trial,index,start_state
0,0,120
0,1,124
0,2,149
0,3,197
0,4,213
0,5,221
0,6,276
0,7,343
0,8,384
0,9,410
0,10,542
0,11,651
0,12,657
0,13,693
0,14,758
0,15,787
0,16,853
0,17,865
0,18,931
0,19,957
0,20,1017
0,21,1169
0,22,1231
0,23,1304
0,24,1340
0,25,1348
0,26,1360
0,27,1374
0,28,1396
0,29,1402
0,30,1526
0,31,1655
0,32,1667
0,33,1724
0,34,1783
0,35,1883
0,36,1942
0,37,1982
0,38,2064
0,39,2164
0,40,2281
0,41,2388
0,42,2402
0,43,2403
0,44,2441
0,45,2516
0,46,2544
0,47,2692
0,48,2781
0,49,2787
0,50,2815
0,51,2884
0,52,2933
0,53,2957
0,54,3103
0,55,3184
0,56,3233
0,57,3294
0,58,3300
0,59,3309
0,60,3445
0,61,3753
0,62,3899
0,63,3903
0,64,3991
0,65,4053
0,66,4100
0,67,4253
0,68,4282
0,69,4289
0,70,4384
0,71,4407
0,72,4520
0,73,4546
0,74,4605
0,75,4639
0,76,4664
0,77,4710
0,78,4741
0,79,4745
0,80,4750
0,81,5047
0,82,5072
0,83,5095
0,84,5149
0,85,5163
0,86,5219
0,87,5265
0,88,5375
0,89,5394
0,90,5408
0,91,5452
0,92,5473
0,93,5541
0,94,5558
0,95,5603
0,96,5656
0,97,5777
0,98,5814
0,99,5913
0,100,5927
0,101,5934
0,102,5941
0,103,5995
0,104,6006
0,105,6072
0,106,6082
0,107,6114
0,108,6252
0,109,6292
0,110,6392
0,111,6473
0,112,6490
0,113,6539
0,114,6702
0,115,6881
0,116,6895
0,117,7017
0,118,7050
0,119,7152
0,120,7178
0,121,7237
0,122,7263
0,123,7300
0,124,7302
0,125,7569
0,126,7587
0,127,7841
0,128,7853
0,129,7955
0,130,7985
0,131,8081
0,132,8152
0,133,8192
0,134,8222
0,135,8235
0,136,8254
0,137,8266
0,138,8283
0,139,8303
0,140,8427
0,141,8444
0,142,8514
0,143,8552
0,144,8606
0,145,8613
0,146,8661
0,147,8739
0,148,8771
0,149,8860
0,150,8947
0,151,8977
0,152,9014
0,153,9021
0,154,9091
0,155,9183
0,156,9227
0,157,9256
0,158,9269
0,159,9334
0,160,9356
0,161,9480
0,162,9531
0,163,9604
0,164,9711
0,165,9962
0,166,9989
0,167,10098
0,168,10266
0,169,10465
0,170,10518
0,171,10574
0,172,10612
0,173,10667
0,174,10701
0,175,10799
0,176,10828
0,177,10921
0,178,11037
0,179,11112
0,180,11127
0,181,11152
0,182,11210
0,183,11311
0,184,11462
0,185,11582
0,186,11589
0,187,11597
0,188,11709
0,189,11981
0,190,11987
0,191,11992
0,192,12010
0,193,12012
0,194,12082
0,195,12172
0,196,12454
0,197,12535
0,198,12556
0,199,12569
0,200,12648
0,201,12776
0,202,12796
0,203,12808
0,204,12906
0,205,13013
0,206,13082
0,207,13115
0,208,13232
0,209,13303
0,210,13477
0,211,13568
0,212,13884
0,213,13885
0,214,13900
0,215,14140
0,216,14218
0,217,14256
0,218,14288
0,219,14338
0,220,14414
0,221,14464
0,222,14601
0,223,14668
0,224,14675
0,225,14699
0,226,14715
0,227,14729
0,228,14761
0,229,14801
0,230,14872
0,231,14960
0,232,15163
0,233,15235
0,234,15243
0,235,15265
0,236,15328
0,237,15377
0,238,15416
0,239,15444
0,240,15459
0,241,15477
0,242,15606
0,243,15634
0,244,15696
0,245,15724
0,246,15775
0,247,15809
0,248,15899
0,249,15909
0,250,15920
0,251,15986
0,252,16102
0,253,16161
0,254,16181
0,255,16205
0,256,16216
0,257,16390
0,258,16432
0,259,16480
0,260,16546
0,261,16701
0,262,16704
0,263,16715
0,264,16763
0,265,16769
0,266,16774
0,267,16861
0,268,16880
0,269,16970
0,270,17041
0,271,17080
0,272,17084
0,273,17105
0,274,17117
0,275,17189
0,276,17338
0,277,17433
0,278,17468
0,279,17566
0,280,17672
0,281,17769
0,282,17839
0,283,17850
0,284,17871
0,285,17887
0,286,18102
0,287,18119
0,288,18238
0,289,18283
0,290,18464
0,291,18567
0,292,18584
0,293,18817
0,294,18831
0,295,18877
0,296,18967
0,297,19224
0,298,19255
0,299,19443
0,300,19503
0,301,19553
0,302,19570
0,303,19579
0,304,19583
0,305,19715
0,306,19724
0,307,19779
0,308,19898
0,309,19908
0,310,19970
0,311,20001
0,312,20067
0,313,20350
0,314,20414
0,315,20469
0,316,20555
0,317,20591
0,318,20608
0,319,20613
0,320,20760
0,321,20875
0,322,20878
0,323,20885
0,324,20891
0,325,20892
0,326,20979
0,327,20995
0,328,21027
0,329,21057
0,330,21062
0,331,21122
0,332,21158
0,333,21216
0,334,21441
0,335,21481
0,336,21696
0,337,21740
0,338,21970
0,339,21991
0,340,22027
0,341,22148
0,342,22233
0,343,22251
0,344,22283
0,345,22303
0,346,22487
0,347,22504
0,348,22558
0,349,22584
0,350,22627
0,351,22741
0,352,22873
0,353,22911
0,354,22962
0,355,22966
0,356,23153
0,357,23240
0,358,23406
0,359,23592
0,360,23593
0,361,23645
0,362,23672
0,363,23674
0,364,23826
0,365,23881
0,366,23912
0,367,23993
0,368,24056
0,369,24243
0,370,24264
0,371,24313
0,372,24348
0,373,24416
0,374,24479
0,375,24658
0,376,24693
0,377,24700
0,378,24718
0,379,24766
0,380,24812
0,381,24840
0,382,24955
0,383,25050
0,384,25089
0,385,25107
0,386,25109
0,387,25156
0,388,25182
0,389,25188
0,390,25379
0,391,25429
0,392,25430
0,393,25478
0,394,25598
0,395,25652
0,396,25658
0,397,25671
0,398,25723
0,399,25748
0,400,25755
0,401,26004
0,402,26042
0,403,26238
0,404,26242
0,405,26294
0,406,26301
0,407,26308
0,408,26394
0,409,26527
0,410,26550
0,411,26660
0,412,26674
0,413,26691
0,414,26704
0,415,26856
0,416,26861
0,417,26938
0,418,26983
0,419,27081
0,420,27153
0,421,27162
0,422,27298
0,423,27334
0,424,27418
0,425,27528
0,426,27543
0,427,27572
0,428,27573
0,429,27645
0,430,27656
0,431,27822
0,432,27871
0,433,27934
0,434,27937
0,435,28007
0,436,28053
0,437,28093
0,438,28101
0,439,28114
0,440,28156
0,441,28248
0,442,28336
0,443,28341
0,444,28351
0,445,28398
0,446,28445
0,447,28478
0,448,28506
0,449,28574
0,450,28665
0,451,28707
0,452,28709
0,453,28793
0,454,28873
0,455,28943
0,456,28971
0,457,29130
0,458,29325
0,459,29447
0,460,29466
0,461,29481
0,462,29506
0,463,29556
0,464,29742
0,465,29912
0,466,30010
0,467,30379
0,468,30388
0,469,30394
0,470,30494
0,471,30618
0,472,30622
0,473,30691
0,474,30762
0,475,30794
0,476,30890
0,477,30919
0,478,30946
0,479,31098
0,480,31120
0,481,31185
0,482,31498
0,483,31532
0,484,31594
0,485,31628
0,486,31665
0,487,31787
0,488,31854
0,489,31992
0,490,32108
0,491,32130
0,492,32265
0,493,32275
0,494,32312
0,495,32330
0,496,32456
0,497,32488
0,498,32552
0,499,32575
0,500,32679
0,501,32710
0,502,32798
0,503,32838
0,504,32867
0,505,32961
0,506,32964
0,507,32991
0,508,33050
0,509,33052
0,510,33054
0,511,33088
0,512,33141
0,513,33218
0,514,33219
0,515,33245
0,516,33283
0,517,33302
0,518,33326
0,519,33401
0,520,33434
0,521,33615
0,522,33780
0,523,33783
0,524,33873
0,525,33877
0,526,33899
0,527,33912
0,528,34016
0,529,34106
0,530,34208
0,531,34210
0,532,34307
0,533,34349
0,534,34391
0,535,34428
0,536,34438
0,537,34448
0,538,34465
0,539,34552
0,540,34620
0,541,34643
0,542,34766
0,543,34808
0,544,34935
0,545,35037
0,546,35082
0,547,35094
0,548,35218
0,549,35250
0,550,35376
0,551,35418
0,552,35443
0,553,35444
0,554,35571
0,555,35603
0,556,35722
0,557,35745
0,558,35824
0,559,35840
0,560,35882
0,561,36020
0,562,36035
0,563,36094
0,564,36117
0,565,36123
0,566,36124
0,567,36141
0,568,36238
0,569,36275
0,570,36277
0,571,36340
0,572,36343
0,573,36355
0,574,36396
0,575,36400
0,576,36545
0,577,36583
0,578,36586
0,579,36605
0,580,36680
0,581,36690
0,582,36740
0,583,36833
0,584,36889
0,585,37025
0,586,37081
0,587,37123
0,588,37180
0,589,37207
0,590,37244
0,591,37317
0,592,37361
0,593,37396
0,594,37403
0,595,37459
0,596,37524
0,597,37562
0,598,37581
0,599,37601
0,600,37782
0,601,37843
0,602,37939
0,603,38002
0,604,38078
0,605,38138
0,606,38172
0,607,38211
0,608,38335
0,609,38364
0,610,38383
0,611,38663
0,612,38678
0,613,38722
0,614,38783
0,615,38938
0,616,39110
0,617,39127
0,618,39161
0,619,39736
0,620,39772
0,621,39780
0,622,39788
0,623,39877
0,624,39883
0,625,39934
0,626,39953
0,627,40130
0,628,40154
0,629,40188
0,630,40197
0,631,40213
0,632,40243
0,633,40247
0,634,40304
0,635,40348
0,636,40350
0,637,40373
0,638,40396
0,639,40540
0,640,40563
0,641,40796
0,642,40934
0,643,41127
0,644,41192
0,645,41319
0,646,41415
0,647,41506
0,648,41557
0,649,41678
0,650,41716
0,651,41728
0,652,41862
0,653,41935
0,654,42002
0,655,42028
0,656,42049
0,657,42052
0,658,42056
0,659,42143
0,660,42174
0,661,42193
0,662,42348
0,663,42498
0,664,42704
0,665,42756
0,666,42864
0,667,42885
0,668,43035
0,669,43064
0,670,43111
0,671,43394
0,672,43471
0,673,43503
0,674,43520
0,675,43526
0,676,43527
0,677,43708
0,678,43721
0,679,43776
